label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
SPHINCS,2066419201,2066433862,2066445971,2066453484,2066459596,2066465580,2030066454,2027753440,2027741045,2017078589,2017043828,2015244131,0.609577126,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
Falcon,101674641,101034927,101728515,101702060,101706127,101712576,101722295,101740439,101769638,101793646,101852749,101887195,0.031127638,10417.333333333334,5984.0,761.3333333333334,132.0,2308.0,4224.0,64.0
Falcon,134813397,134835580,134833325,134865489,134901436,134918344,134920138,134933613,134948803,134962831,134981621,134996345,0.040880014,10449.333333333334,5902.222222222223,793.3333333333334,132.0,2308.0,4224.0,67.55555555555556
DSA,57582159,57596835,57499717,56683888,46421678,46403277,46398244,46392200,17773550,17724963,17700004,17649830,0.005500463,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
DSA,37905013,24651590,20427453,20419862,20403933,20409520,20405737,20416567,20417875,17257447,17242227,17221280,0.005897762,10184.0,5120.0,528.0,132.0,2308.0,4224.0,60.0
Falcon,94807594,94804764,94804387,92737059,92726779,92049946,91611426,91610895,91607250,91470365,89973019,89849332,0.029264645,10253.6,4459.2,595.2,132.0,2024.8,3752.0,56.0
SPHINCS,5134538971,5134587795,5120290453,5120271068,5118351964,5118334985,5096203062,5095298022,5095310253,5075315373,5075296483,5075267930,1.565916342,10460.744186046511,5746.604651162791,804.7441860465116,132.0,2308.0,4224.0,64.0
DSA,17013151,17026742,17050458,17063001,17075199,17082636,17093323,17160136,17178959,17184901,17190627,17191993,0.005210335,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,572538505,572563221,572584694,572597752,572619198,572643904,572671913,572697162,572718237,572752677,572770706,572784866,0.178632776,10436.0,5632.0,780.0,132.0,2308.0,4224.0,63.8
Dilithium,63962992,63954585,63398606,63385227,63380960,63378322,63339684,63397151,63398458,63211837,60844381,19711176,0.00591459,9904.0,3968.0,248.0,132.0,2308.0,4224.0,60.0
Falcon,303630877,303671188,303710100,291249133,291047302,286072082,252056475,251994782,251954285,247223234,247232641,247221508,0.073489124,9418.0,5440.0,727.2,119.2,2077.2,3801.6,66.0
Falcon,161669876,161657881,161653208,161626705,161638897,161638166,161634223,161627624,161482834,152786228,148807365,145689281,0.043574503,10384.0,5760.0,728.0,132.0,2308.0,4224.0,67.42857142857143
Dilithium,92320334,92327922,92334911,92348372,92374602,86518354,43150353,43103630,43084313,17113205,16336282,16303660,0.005079132,9904.0,3968.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium,52911490,52897710,52936656,52964603,53014174,53090387,53140602,53172651,53188416,53209083,53227413,53239097,0.017206349,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
SPHINCS,1961061691,1932492928,1919422351,1919394300,1916836119,1916832343,1916822446,1916816031,1916815013,1916828386,1910169819,1910125357,0.576091616,10464.0,5888.0,808.0,132.0,2308.0,4224.0,60.0
Falcon,45633570,45637194,45654734,45687140,45709211,45718963,45734382,45755142,45765848,45782533,45792196,45795164,0.015291249,10464.0,6058.666666666667,808.0,132.0,2308.0,4224.0,68.0
DSA,16328389,16338302,16337433,16322445,16349554,16361007,16358801,16365360,16375299,16379471,16385625,16391988,0.004969553,10152.0,2572.0,490.0,132.0,1600.0,3044.0,52.0
Falcon,89352256,89360452,88463133,87204570,87194868,85227819,83559219,60309435,57507871,47803969,47777035,42462782,0.01327562,10277.333333333334,5333.333333333333,621.3333333333334,132.0,2308.0,4224.0,64.0
Falcon,43715387,43756086,43768061,43779942,43823569,43840786,43847157,43842349,43853331,43863396,43879764,43892785,0.013664811,10288.666666666666,4612.0,630.6666666666666,132.0,2072.0,3830.6666666666665,63.333333333333336
SPHINCS,2396211845,2396256650,2396265631,2393699376,2393697560,2393697054,2371384989,2358157905,2358124802,2353382387,2353356386,2353330574,0.712141181,10459.044247787611,5867.6106194690265,803.0442477876106,132.0,2308.0,4224.0,64.0
SPHINCS,497632581,497643554,496938494,459861253,459836929,459828787,459826184,422993932,422944680,422942388,422939413,422919035,0.136722849,10451.52,5670.4,794.16,132.0,2308.0,4224.0,59.92
DSA,63902382,63895343,63885324,51480726,51478610,51479003,51466286,51457917,19305377,19273472,19284214,19274685,0.006208695,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,1748829822,1748836114,1748844226,1711954152,1711419850,1711894584,1699443340,1699410957,1699346092,1699341059,1699353889,1699344417,0.517906045,10458.313513513514,5848.0,802.2486486486487,132.0,2300.345945945946,4211.243243243243,67.89189189189189
DSA,24563761,20337740,19066366,18055287,18040650,18030367,16133171,16110758,16102399,16082136,16067843,16053903,0.00498665,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
DSA,66696286,58529180,56877498,56077570,56065516,42669573,30369049,30317380,30311690,30305263,30286383,18264387,0.005877176,10152.0,3584.0,650.0,132.0,2308.0,4224.0,62.0
DSA,53126382,30619903,30589425,30589851,30584396,30569280,17826863,17810734,17760771,17754948,17740775,17735091,0.00535379,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Falcon,87751702,87490940,87455441,87443851,83864691,82948592,60002949,48125913,47544852,42956152,42924423,42901050,0.014282967,10370.666666666666,5504.0,714.6666666666666,132.0,2308.0,4224.0,60.0
DSA,41858647,41874826,41901642,41912916,41939089,41953561,41948019,41956273,41974650,41979000,41989459,41992311,0.013396876,9840.0,1408.0,492.0,132.0,2308.0,4224.0,60.0
SPHINCS,4692272954,4692336316,4664894088,4664890906,4661078832,4653172133,4653140100,4653119439,4653108850,4641435770,4641408182,4641399109,1.52801715,10464.0,5877.787234042553,808.0,132.0,2308.0,4224.0,64.0
DSA,50617463,41859213,31389848,31386477,31420581,19322526,19353514,19332420,19327053,19320820,19335298,19341490,0.006107698,10048.0,4736.0,392.0,132.0,2308.0,4224.0,64.0
Dilithium,110942734,110948223,108307812,64983807,63806149,28433177,22143913,19058337,19026069,19009029,18971639,17374023,0.005701938,10464.0,5888.0,808.0,132.0,2308.0,4224.0,60.0
Falcon,190627389,190651193,190697447,190732218,190752009,190770399,190786003,190799610,190818814,190833218,190858163,190870273,0.057725439,9752.0,4576.0,711.0,132.0,2308.0,3819.0,59.0
DSA,73194679,73059361,28880439,28830627,28829446,28823659,28811467,25112454,20544963,17445932,17407488,17380473,0.005594904,10184.0,4416.0,528.0,132.0,2308.0,4224.0,62.0
DSA,76167069,69260584,69268817,69247789,69236318,69222064,69209629,69227008,23784070,23743494,23724697,17748694,0.005358942,10398.0,5568.0,742.0,132.0,2308.0,4224.0,62.0
SPHINCS,328561208,328575512,289427468,289400777,289405803,289391649,286430818,286437436,286429087,286426043,276783009,272856123,0.082676033,10436.869565217392,5726.95652173913,780.3478260869565,132.0,2246.4347826086955,4121.391304347826,63.65217391304348
DSA,42080589,42077114,30117588,30136364,30139752,30131844,30134470,30131936,30130061,19901377,16834428,16799071,0.005411735,9972.0,1560.0,304.0,132.0,892.0,1864.0,56.0
Dilithium,67407759,67399887,67405560,67410084,63483443,42894955,42835657,42807453,42788299,17428371,17384207,17356370,0.005488754,10184.0,4736.0,528.0,132.0,2308.0,4224.0,60.0
SPHINCS,5119234978,5119266194,5119331672,5119331779,5119383906,5119427772,5119418775,5119396382,5095061502,5095048165,5095037649,5095029669,1.571101821,10464.0,5877.059829059829,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,2088357699,2088381769,2088390941,2088399355,2088408872,2088406505,2088381486,2063938450,2063905007,2051698000,2051666985,2045521193,0.641157967,10464.0,5888.0,808.0,132.0,2308.0,4224.0,68.0
DSA,28136489,28197467,28256913,21959001,20344657,20386478,20408898,20454294,20460199,20449826,20425979,20419830,0.006572153,9904.0,3072.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium,65599569,42874926,37338464,37284875,30904631,30488288,28370217,28344809,28127199,19289677,17705309,17670249,0.005834575,9938.0,2188.0,276.0,132.0,1600.0,3044.0,50.0
Falcon,285229566,285222291,283798908,252787914,239269091,239224595,239208792,239184891,238312690,233546803,233512883,231020345,0.070751781,10382.0,5060.0,724.0,132.0,2072.0,3830.6666666666665,60.0
Dilithium,81561525,81594678,70187965,70096279,70095756,27609395,26104039,20111468,19908642,18531796,16889359,16868322,0.005164112,9904.0,3968.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium,17615492,17629493,17646683,17661072,17674759,17679895,17691622,17686844,17692506,17697095,17704020,17707017,0.005717993,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
DSA,47660439,47673010,47667440,20638087,20618240,20602116,20589040,20584467,20575998,20580346,20580482,20551617,0.006359596,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,2603571993,2599223755,2579460271,2575844762,2575856467,2575850742,2575850651,2575139367,2575786152,2555335149,2555329958,2543588675,0.82391128,10461.383177570093,6007.626168224299,805.3831775700935,132.0,2308.0,4224.0,63.981308411214954
Falcon,197510344,194175472,194181134,194179191,194184536,194197510,193199375,185524408,181920399,181876481,156467146,156130144,0.047664493,10436.666666666666,5690.222222222223,780.0,132.0,2229.3333333333335,4092.8888888888887,62.888888888888886
SPHINCS,416084504,416093689,416081103,364385995,364391078,364325788,364327994,364311658,364326407,364322728,357653582,357640783,0.108554625,10437.333333333334,5644.190476190476,781.3333333333334,132.0,2308.0,4224.0,67.61904761904762
Dilithium,80922797,80289541,79105854,79091915,78833006,78823527,43241273,43170770,36903768,32719995,31215938,17796823,0.005491381,10180.0,4736.0,524.0,132.0,2308.0,4224.0,72.0
SPHINCS,4516957119,4483690300,4483664745,4478560795,4473985912,4470168185,4465601535,4465577706,4450598334,4443014785,4431561382,4431487779,1.414718996,10461.502538071067,5772.467005076142,805.4416243654822,132.0,2300.812182741117,4212.0203045685275,63.878172588832484
SPHINCS,4992122157,4992152091,4992184550,4992209294,4992229744,4992272300,4992311738,4992328006,4992348442,4992347238,4992449924,4992472071,1.548876572,10461.171717171717,5783.919191919192,805.1717171717172,132.0,2308.0,4224.0,63.97979797979798
DSA,60197984,60033732,53322753,52161142,49909118,49926528,41652514,17752556,17702107,17679723,17663274,17463979,0.005807553,10152.0,2572.0,490.0,132.0,1600.0,3044.0,56.0
DSA,48885990,46937668,46919017,46917917,46928100,46923747,34309343,34248338,32614348,19371229,19337487,19317710,0.006063484,10184.0,4736.0,528.0,132.0,2308.0,4224.0,64.0
DSA,17303175,17337496,17340769,17344719,17361377,17382026,17396266,17416263,17435979,17446535,17459468,17476093,0.005637426,10233.333333333334,4864.0,577.3333333333334,132.0,2308.0,4224.0,66.66666666666667
Dilithium,63400596,62939529,62871295,55440331,55410306,55389162,55366964,53570258,40064524,38808164,29032590,16645235,0.005692894,10218.0,3084.0,556.0,132.0,1600.0,3044.0,56.0
Falcon,96116642,96115701,96132303,95128785,95131963,95132692,76511434,64983889,64963168,64948308,53204304,53153263,0.017571167,10304.57142857143,4428.571428571428,690.8571428571429,132.0,2105.714285714286,3886.8571428571427,60.0
Dilithium,43205039,43406739,43422527,43435792,43444831,43451194,43463001,43466205,43478854,19282737,19256533,17102412,0.005503375,10464.0,5120.0,808.0,132.0,2308.0,4224.0,64.0
Falcon,77731678,77740014,77742388,77745634,77730009,77723497,77720080,77718517,52811339,52763109,51308702,49047462,0.01519598,6856.0,3136.0,420.0,132.0,2308.0,2200.0,52.0
SPHINCS,1557622367,1557633649,1557646111,1557660987,1557667771,1557670594,1541175234,1541154497,1541149999,1537479130,1537472673,1537453143,0.499336797,10460.372093023256,5864.186046511628,806.1627906976744,132.0,2308.0,4224.0,59.97674418604651
Falcon,259509250,259545430,259561897,259580090,259585843,259600995,259612120,259629059,259645053,259663207,259673031,259693000,0.08103767,10464.0,6016.0,808.0,132.0,2308.0,4224.0,68.0
DSA,56429312,56462491,56490875,56475180,56479966,56489538,56503469,56520727,56532254,56530394,56540707,56545707,0.018593722,10184.0,4672.0,528.0,132.0,2308.0,4224.0,64.0
DSA,78121953,51475543,51357344,51341351,51327206,27735367,27686605,27663462,23209262,22331343,22332823,16575352,0.005708194,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,5468177931,5468230800,5468284010,5468303600,5468322064,5468350768,5468358656,5468340716,5468381927,5468407469,5468417543,5468428237,1.668353515,10462.66028708134,5826.44976076555,806.6602870813397,132.0,2308.0,4224.0,71.98086124401914
Dilithium,69364697,26383237,26318511,26274459,26267270,23377226,23360021,20391453,18826515,18358237,18411234,18434371,0.005416821,9840.0,1024.0,492.0,132.0,2308.0,4224.0,56.0
DSA,64955462,72546977,77202340,80634754,83556989,79590337,80078085,79096478,79111939,79931157,78373866,73076575,0.022303195,9840.0,1536.0,492.0,132.0,2308.0,4224.0,60.0
SPHINCS,3399346570,3399358950,3399386808,3399399624,3399419594,3399426133,3399448442,3399464892,3399481364,3399517896,3399536157,3399530363,1.05437879,10461.666666666666,5869.333333333333,805.6666666666666,132.0,2308.0,4224.0,64.0
DSA,65120400,65137873,65216630,65219424,65255068,65262742,65268758,40908557,17119917,17094368,17076114,17054608,0.005588897,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
Falcon,228851608,225340728,225288978,225355538,225364803,225182489,225237452,225244785,225252167,225298488,222843412,222834919,0.066725658,10429.0,5856.0,773.0,132.0,2308.0,4224.0,60.0
Falcon,206871383,206889179,206886423,205979960,205707253,182836516,182801353,182795225,182793709,182796491,158376589,158352576,0.047272287,10365.6,4843.2,707.2,132.0,2024.8,3752.0,60.8
SPHINCS,298843550,274591091,274565413,274566204,261854130,261797776,257333808,249537855,249501027,249491253,248072487,239467819,0.078061995,10400.4,5248.0,771.6,132.0,2308.0,4224.0,66.0
Falcon,189332235,186412956,186407276,186415300,170797105,170621023,168670170,168328240,158384275,157578499,157564464,143362442,0.044331862,9418.0,5414.4,727.2,119.2,2077.2,3801.6,55.2
SPHINCS,2730806497,2730837630,2730855968,2730886549,2730848604,2730870579,2730898752,2730918161,2730942831,2730969565,2730985830,2730996928,0.857875994,10442.903703703703,5973.333333333333,805.0370370370371,132.0,2308.0,4212.0,59.851851851851855
SPHINCS,283785620,239359218,239321110,237068246,236976550,236980812,236962100,236951423,236657307,236653295,236661284,236653315,0.07160279,10464.0,5781.333333333333,808.0,132.0,2308.0,4224.0,68.0
Falcon,197951515,197953868,197949154,197958351,197956481,197951631,197836842,197829458,172580561,170709843,147112683,147063544,0.044632786,10442.461538461539,6070.153846153846,786.4615384615385,132.0,2308.0,4224.0,67.84615384615384
Falcon,103942167,103951305,103677154,102535521,99448317,66684325,66650387,66629709,66618564,61471477,55497202,53985464,0.01662891,10292.444444444445,4485.333333333333,633.7777777777778,132.0,1993.3333333333333,3699.5555555555557,55.55555555555556
Falcon,321159384,321180286,320091778,320101334,308256218,308220309,308201914,303362007,300019178,300020119,300028970,272546862,0.082210123,10417.333333333334,5962.666666666667,761.3333333333334,132.0,2308.0,4224.0,71.33333333333333
SPHINCS,4492569537,4477055742,4477034300,4476855871,4476857106,4472571074,4469893825,4469865782,4469246905,4468415254,4469205845,4469197469,1.367268661,10462.482384823848,5874.818428184281,806.4823848238483,132.0,2308.0,4224.0,60.0
Falcon,90063717,90091471,90109001,90105079,75082639,75031907,73627997,73524197,46007187,44941698,44923246,43747906,0.014361612,10370.666666666666,5482.666666666667,714.6666666666666,132.0,2308.0,4224.0,60.0
Dilithium,62587630,62583853,62597223,62607382,62590697,62600288,62612705,62633265,62646194,62674370,62685778,62694971,0.019158533,10048.0,4736.0,392.0,132.0,2308.0,4224.0,64.0
Dilithium,59573237,52838438,30304966,30105353,30004915,25821009,22417846,18799168,18822404,18561840,18059494,18043027,0.005810096,10180.0,4736.0,524.0,132.0,2308.0,4224.0,68.0
SPHINCS,2292656350,2292687694,2292716275,2292761809,2292788078,2292811317,2292837192,2293075851,2293173761,2293193934,2293196678,2293266607,0.720006817,10460.433121019109,5996.4331210191085,804.4331210191083,132.0,2308.0,4224.0,60.0
DSA,19827647,19838099,19886545,19913995,19942016,19960108,19971537,19978120,19989920,20005313,20016110,20034222,0.006469682,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
DSA,39790065,39796072,39795138,39786271,32021690,16598768,16580415,16586061,16576545,16559499,16532268,16512922,0.005318657,10152.0,3776.0,650.0,132.0,2308.0,4224.0,64.0
SPHINCS,3214445455,3214523235,3214548144,3214572459,3214588611,3214601969,3214618445,3214622966,3214630600,3162719253,3162646001,3162626655,0.977073785,10460.460431654676,5846.73381294964,804.3741007194244,132.0,2297.8129496402876,4207.021582733813,59.884892086330936
SPHINCS,1713782579,1712534701,1696661994,1696645145,1684651586,1684630534,1683208651,1683199749,1683227757,1683221951,1683246610,1683217805,0.546551622,10459.574468085106,5874.382978723404,803.5744680851063,132.0,2308.0,4224.0,59.95744680851064
DSA,17182174,17219811,17232746,17251237,17275122,17293116,17300876,17313198,17319943,17331551,17347679,17358083,0.005551373,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
DSA,67594150,64531463,64530361,64520475,63751306,30285738,30236281,30222668,30143372,26883231,26857131,17943264,0.005591651,10118.0,3712.0,462.0,132.0,2308.0,4224.0,58.0
SPHINCS,3643256180,3643329450,3599452572,3599457093,3599447887,3599471946,3597189213,3597161665,3594529020,3590848196,3590820488,3590815792,1.11276415,10464.0,5866.510948905109,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,3508768888,3507785945,3503545776,3503539144,3503425898,3496646031,3496664445,3467247375,3467234055,3465428400,3465292644,3465125671,1.065975724,10459.78947368421,5962.105263157895,803.7894736842105,132.0,2308.0,4224.0,60.0
DSA,61683383,61698223,61420840,53214187,47395555,47360263,47368565,47339474,40471932,39663473,35058391,17525844,0.005656217,9904.0,3456.0,248.0,132.0,2308.0,4224.0,56.0
Dilithium,64614422,60789501,59145510,59164947,59171312,59113686,58000495,57042124,56730947,56735027,17500375,17439497,0.005291527,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
DSA,67427740,65594405,65591742,64096579,64106277,64104144,64098929,64097209,22470533,21882694,19903777,17252305,0.004899219,10256.0,5376.0,600.0,132.0,2308.0,4224.0,64.0
Falcon,53626116,53653331,53666641,53701329,53728426,53745480,53759126,53785852,53796036,53819512,53839049,53844980,0.017403754,10401.777777777777,5703.111111111111,745.7777777777778,132.0,2308.0,4224.0,67.55555555555556
SPHINCS,400257309,400284903,400315800,400355649,400401123,400422692,400434510,400456420,400480818,400494727,400499720,400509388,0.124000562,10423.0,5346.0,766.0,132.0,2190.0,4027.3333333333335,62.0
Falcon,87944840,87949994,87954477,87966900,87983103,87982825,87979942,87980223,87971304,53456318,53421768,45241378,0.014609161,10464.0,6144.0,808.0,132.0,2308.0,4224.0,72.0
DSA,57950202,57959787,18226964,18208590,18201024,18188125,18176911,18179497,18164071,18156132,18173444,18174521,0.005611905,9972.0,152.0,304.0,132.0,892.0,1864.0,40.0
SPHINCS,527091016,527115967,527130845,527152624,527172590,527189781,527207631,527219296,527232325,527246092,527271455,527293534,0.16665216,10445.64705882353,5714.823529411765,798.7058823529412,132.0,2308.0,4224.0,67.6470588235294
SPHINCS,581403464,580358421,574500390,537271112,537243949,537224451,537210236,536406642,536391576,536379324,536377920,536369574,0.172513472,10443.25925925926,5731.555555555556,787.2592592592592,132.0,2308.0,4224.0,60.0
DSA,16575827,16589703,16612355,16638472,16650427,16657814,16660913,16668668,16676750,16694652,16684888,16683727,0.005469228,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
DSA,23488306,23489909,23489458,23498301,23484977,23486002,23487145,23492283,23495492,23496136,23502141,23514446,0.007743195,9906.0,588.0,398.0,132.0,1600.0,3044.0,50.0
SPHINCS,2343593499,2340709571,2340519051,2340531030,2339011963,2338560364,2338565784,2338571103,2338581146,2336409424,2336420350,2336424884,0.758856263,10456.0,5728.914285714286,800.0,132.0,2308.0,4224.0,67.94285714285714
Dilithium,105419569,101182411,101169174,56872393,56861512,32993072,32413701,32272730,32241329,32241825,32225874,18418135,0.005971058,10152.0,3520.0,650.0,132.0,2308.0,4224.0,60.0
Dilithium,49286687,49364898,49388880,49429821,49456935,49460283,49472414,49478871,49495488,49502578,49508703,49506433,0.014827622,9938.0,2188.0,276.0,132.0,1600.0,3044.0,50.0
Falcon,74711538,74730007,74744384,74749282,74777211,74791232,74809779,74822434,74836958,74851753,74868897,74896741,0.023329235,10324.0,5280.0,668.0,132.0,2308.0,4224.0,60.0
Falcon,265428144,265423736,265420804,265393862,265396476,265395798,265398007,265399362,219612597,219586140,211457265,199548073,0.060188188,10324.0,5504.0,668.0,132.0,2308.0,4224.0,66.0
SPHINCS,620453689,620467506,620479265,620520152,594205476,594172283,594168359,594156054,581044972,580586129,580562106,580537717,0.176204809,10447.030303030304,5771.636363636364,791.030303030303,132.0,2308.0,4224.0,60.0
DSA,49844473,49893698,49908487,33101323,19678925,19685041,19713247,19707985,19709491,19695487,19685999,19687696,0.005848664,10332.0,4864.0,676.0,132.0,2308.0,4224.0,64.0
SPHINCS,330968099,330885614,330908870,330918920,330919771,324721591,287986232,287184055,286970813,286944624,286937695,286629692,0.093096855,10434.526315789473,5773.473684210527,778.5263157894736,132.0,2308.0,4224.0,63.78947368421053
Falcon,104531207,104563604,104585925,104602371,104633155,104670881,104709885,104735063,104753214,104769621,104775917,104776812,0.033301146,10184.0,4800.0,528.0,132.0,2308.0,4224.0,66.0
DSA,62132232,62121771,62126033,62142171,62147688,62161845,62167250,62220747,62251397,62264136,62291300,62319870,0.01940274,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,3740816257,3736388753,3736380539,3736384434,3736394043,3736406102,3736415058,3724202613,3724173667,3724166765,3719329380,3714606318,1.117942188,10458.954954954956,5982.558558558559,802.9549549549549,132.0,2308.0,4224.0,67.96396396396396
DSA,70018630,70023886,70038641,70067413,70110780,70182693,58749202,18800123,18750797,18765035,18771410,18771620,0.005745273,9772.0,2432.0,116.0,132.0,2308.0,4224.0,56.0
SPHINCS,1574465580,1537360029,1537336921,1524590160,1524581178,1524562573,1524528132,1524525612,1524526603,1524521077,1524529425,1512781978,0.464471349,10459.72602739726,5856.438356164384,805.8356164383562,132.0,2308.0,4224.0,63.97260273972603
SPHINCS,2875184512,2875201937,2875223951,2875213889,2875245220,2865877753,2863268538,2862683134,2862692796,2862687899,2862653159,2862652620,0.854742767,10464.0,5888.0,808.0,132.0,2308.0,4224.0,68.0
Falcon,110900584,110897706,110907699,110900775,110896637,110940500,110944491,110951096,110970086,111036503,111064337,94696472,0.028984339,10413.09090909091,5853.090909090909,757.0909090909091,132.0,2308.0,4224.0,60.0
DSA,71223858,71242337,71267817,71306601,71311386,71323250,71341159,71371309,71405775,71432186,71467029,71495773,0.021313942,9904.0,3712.0,248.0,132.0,2308.0,4224.0,64.0
SPHINCS,3914842622,3914855535,3914892354,3914902476,3914913500,3895884639,3883582450,3882825100,3882766110,3877189281,3868309408,3868144806,1.178894368,10461.606837606838,5878.7008547008545,805.6068376068376,132.0,2308.0,4224.0,63.98290598290598
DSA,90854384,90882473,90879635,90876267,90887514,90852401,87007401,79568023,79482732,77159536,71135943,17763347,0.005716665,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
DSA,17078996,17099258,17116616,17146016,17156732,17152439,17162645,17174313,17060449,17193320,17202607,17210301,0.005364605,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium,63872590,63869382,63100389,63133716,63143775,63160581,63147271,63134120,61745335,61769681,56445888,19386964,0.006253173,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
SPHINCS,2433011537,2433048041,2433055834,2433088549,2433125951,2433142087,2433152545,2433168392,2433183316,2433199853,2433219766,2433224178,0.753562248,10464.0,6016.0,808.0,132.0,2308.0,4224.0,68.0
SPHINCS,3290456080,3290471195,3290501126,3290491676,3290494310,3259573316,3259543994,3259532866,3259487829,3259480284,3259444987,3259419068,1.069519694,10464.0,6004.906666666667,808.0,132.0,2308.0,4224.0,63.946666666666665
SPHINCS,442155098,441946313,442703663,442724661,442729516,440456774,440453674,400591624,396175269,395893621,395886054,393374715,0.127689394,10444.0,5782.857142857143,788.0,132.0,2308.0,4224.0,68.0
SPHINCS,2224022817,2224047813,2224052100,2224071132,2223630716,2224139931,2223834347,2223855835,2223858191,2199337959,2199329802,2199315400,0.662737151,10464.0,6016.0,808.0,132.0,2308.0,4224.0,60.0
Dilithium,67588653,66864026,66853489,29661900,29569819,25758985,24649016,24645720,23663656,23648870,19572962,18358352,0.005486298,10180.0,4864.0,524.0,132.0,2308.0,4224.0,64.0
SPHINCS,2356738050,2356735822,2353566717,2349269338,2329436695,2326235364,2323268508,2314030101,2313991916,2313471831,2313506519,2301627449,0.750936437,10461.606837606838,5877.606837606838,805.6068376068376,132.0,2308.0,4224.0,63.98290598290598
Falcon,189783402,189807111,181081600,143412539,143356125,143317593,142304289,142254339,142250236,142252332,142209969,142193199,0.043075222,10401.777777777777,5788.444444444444,745.7777777777778,132.0,2308.0,4224.0,63.55555555555556
SPHINCS,204295235,204329609,204317478,204329408,204348488,204364450,204377599,204401369,204416823,204426610,204435491,204438660,0.065656977,10464.0,5922.909090909091,808.0,132.0,2308.0,4224.0,64.0
DSA,49335066,49357176,49388504,49441171,49435201,49466963,49119783,48918744,19842238,19789456,19812443,19813354,0.005995914,6856.0,3200.0,420.0,132.0,2308.0,2200.0,52.0
Dilithium,82073573,79208779,79205108,79190952,78588583,64063381,62977548,56952854,38417055,17052342,17013144,16980322,0.005416785,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium,47645391,47659174,47655192,27127279,17362244,17298511,17273799,17201317,17184140,17159722,17145380,17127637,0.005484972,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
DSA,20342313,20352367,20359827,20376049,20407205,20423836,20448025,20503163,20519850,20533363,20549207,20581700,0.006868459,10048.0,4736.0,392.0,132.0,2308.0,4224.0,60.0
Falcon,219691988,219716357,219725471,195138207,195120606,195122842,195128843,195137621,195163166,195164186,195168605,195158063,0.060443538,10409.333333333334,5314.666666666667,752.0,132.0,2150.6666666666665,3961.777777777778,65.33333333333333
SPHINCS,1748479211,1748501023,1748503998,1748513190,1748502450,1747544693,1732103031,1724041778,1723794821,1712385315,1701464118,1701414073,0.521826246,10464.0,5888.0,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,3809864531,3809838947,3809865397,3809877068,3809895346,3809906964,3809913844,3809924279,3778684858,3778633872,3766886806,3766890271,1.2275071,10460.871508379889,5988.111731843575,804.8715083798883,132.0,2308.0,4224.0,67.95530726256983
DSA,17757667,17784513,17803838,17857448,17925115,17951052,18015330,18115317,18129859,18181610,18215598,18244630,0.005372573,9904.0,2816.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,750559374,750540352,735136218,735111409,735119843,735112830,735109143,733054765,732822203,692612496,692583106,691156038,0.221064585,10442.530612244898,5648.163265306122,786.2857142857143,132.0,2279.1020408163267,4175.836734693878,67.34693877551021
Dilithium,28877027,28903898,28930384,28983448,28999786,29022621,29053505,29105624,29145581,29161772,29174774,29198911,0.008745195,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Falcon,61055148,60392072,60392695,60366453,44797477,44735039,44715376,44183115,43967680,43958622,43949897,43979630,0.013338112,10431.0,5664.0,775.0,132.0,2308.0,4224.0,64.0
Dilithium,67082899,66126631,63611034,63611008,63615143,59889897,59884752,59874723,17492296,17451487,17430963,17411571,0.005428712,9904.0,3072.0,248.0,132.0,2308.0,4224.0,60.0
